ID,DISTRICT,UPAZILA_THANA,INST_TYPE,LEVEL_OF_INSTITUTION,EIIN,NAME_OF_INSTITUTION,ADDRESS,POST,MOBAILE,E-mail
314,DHAKA,JATRABARI,SCHOOL,JUNIOR SECONDARY,133928,ROSE GARDEN TUTORIAL AND HIGH SCHOOL,59/3 BRAHMAN CHIRON,WARI,01711168094,
315,DHAKA,JATRABARI,SCHOOL,SECONDARY ,107874,SABUJ BIDYAPITH HIGH SCHOOL,84/12.A JATRABARI,GANDARIA,01915697677,
316,DHAKA,JATRABARI,SCHOOL,JUNIOR SECONDARY,136560,SHAMSUL ISLAM IDEAL SCHOOL AND COLLEGE,817/2045 DANIA,DANIA,01935846973,
317,DHAKA,JATRABARI,SCHOOL,SECONDARY ,107873,SHEKHDI ABDULLAH MOLLAH HIGH SCHOOL,SHEKHDI,MATUAIL,01718038844,
318,DHAKA,KAFRUL,SCHOOL,SECONDARY ,108182,ADARSHA HIGH SCHOOL MIRPUR,ROAD-1 HOL-9,MIRPUR,01835141283,
319,DHAKA,KAFRUL,SCHOOL,SECONDARY ,136991,BHASHANTEK GOVT. SECONDARY SCHOOL,KAFRUL,KAFRUL,01712637960,
320,DHAKA,KAFRUL,SCHOOL,SECONDARY ,108049,DAKHIN KAFRUL MODEL HIGH SCHOOL,DAKHIN KAFRUL,DHAKA CANTONMENT,01712035191,
321,DHAKA,KAFRUL,SCHOOL,SECONDARY ,108174,HAZI ALI HOSSAIN HIGH SCHOOL,"MIRPUR-13-C , 4/11",MIRPUR-2,01552337469,
322,DHAKA,KAFRUL,SCHOOL,SECONDARY ,108046,HAZI ASRAF ALI HIGH SCHOOL,884/1,MIRPUR,01712162749,
323,DHAKA,KAFRUL,SCHOOL,SECONDARY ,107847,HAZI SAYED ALI KHAN HIGH SCHOOL,KUCHUKHAT R/A,DHAKA CANT.,01914890750,
324,DHAKA,KAFRUL,SCHOOL,SECONDARY ,108175,IBRAHIMPUR SALAHUDDIN SHIKHYALAYA,"1381 SHEWRAPARA, KARFUL, DHAKA-1216",MIRPUR,01710923870,
325,DHAKA,KAFRUL,SCHOOL,JUNIOR SECONDARY,133984,ISLAMI BANK MODEL JUNIOR SCHOOL,555/1,MIRPUR,01712977737,
326,DHAKA,KAFRUL,SCHOOL,SECONDARY ,108043,ROTARY HIGH SCHOOL,ASANULLA ROAD,DHAKA CANT:,01556355046,
327,DHAKA,KAFRUL,SCHOOL,SECONDARY ,107846,SENA PALLY HIGH SCHOOL,,DHAKA CANTONMENT,01748547414,
328,DHAKA,KAFRUL,SCHOOL,JUNIOR SECONDARY,137908,SHER-E-BANGLA GOVT. PRIMARY SCHOOL,SHER-E-BANGLA,MIRPUR,01720041209,
329,DHAKA,KAFRUL,SCHOOL,SECONDARY ,108047,UTTAR KAFRUL HIGH SCHOOL,598/2 SCHOOL ROAD,DHAKA CANTONMENT,01619888125,
330,DHAKA,KADAMTALI,SCHOOL,SECONDARY ,107872,BAKCHAR ADARSHA HIGH SCHOOL,BAKCHAR,GANDARIA,01922444909,
331,DHAKA,KADAMTALI,SCHOOL,JUNIOR SECONDARY,137145,BAKCHAR GOVT. PRIMARY SCHOOL,KADAMTALI,GENDARIA,01716151998,
332,DHAKA,KADAMTALI,SCHOOL,SECONDARY ,134716,BRIGHT SCHOOL AND COLLEGE,"648, SARAI, DHANIA",DHANIA,01711245897,
333,DHAKA,KADAMTALI,SCHOOL,SECONDARY ,107891,HAJEE SHARIAT ULLAH ADARSHSA HIGH SCHOOL,MERAJ NAGAR,MERAJ NAGAR,01715953908,
334,DHAKA,KADAMTALI,SCHOOL,SECONDARY ,107890,JANATABUG HIGH SCHOOL,JANATABAG ABASHIK ARIEA,DANIA,01777525859,
335,DHAKA,KADAMTALI,SCHOOL,JUNIOR SECONDARY,134454,JURAIN ADARSHA ACADEMY,"1084/1, BAGANBARI ROAD, PURBA JURAIN;",FARIDABAD,01920250668,
336,DHAKA,KADAMTALI,SCHOOL,SECONDARY ,108471,JURAIN ASHRAF MASTER ADARSA HIGH SCHOOL,1816 HAZI KHORSED ALI SARDAR ROAD,FARIDABAD,01817123376,
337,DHAKA,KADAMTALI,SCHOOL,SECONDARY ,133989,MAHIUDDIN BADAL COLLEGIATE SCHOOL,TUSHARDHARA R/A,TUSHARDHARA,01715564669,
338,DHAKA,KADAMTALI,SCHOOL,JUNIOR SECONDARY,136796,MOHAMMADBUG ADARSHO SCHOOL,"1136, MOHAMMADBUG",MERAZNAGAR,01919438519,
339,DHAKA,KADAMTALI,SCHOOL,SECONDARY ,108475,MURADPUR SAMIRAN NESSA HIGH SCHOOL,"222-223,MURADPUR HIGH SCHOOL ROAD",GANDARIA,01717206694,
340,DHAKA,KADAMTALI,SCHOOL,SECONDARY ,107889,P.N.P SHAHID FARUK MD.IQBAL HIGH SCHOOL,1831/32 ZIA SHARONI,DANIA,01817528154,
341,DHAKA,KADAMTALI,SCHOOL,SECONDARY ,108474,PURBA JURAIN ADARSHA HIGH SCHOOL,"1347, PURBA JURAIN, P.O- FARIDABAD, DHAKA",FARIDABAD,01811514960,
342,DHAKA,KADAMTALI,SCHOOL,SECONDARY ,107876,RAIS NAGAR HIGH SCHOOL,RAIS NAGAR,MERAJNAGAR,01718048276,
343,DHAKA,KADAMTALI,SCHOOL,SECONDARY ,108464,SALAHUDDIN AHMED HIGH SCHOOL,"1409/03, PURBA JURAIN (SOBUJBAGH), DHAKA",FARIDA BAD,01914726275,
344,DHAKA,KADAMTALI,SCHOOL,SECONDARY ,135456,SERAJUL HOQUE BHUIYAN SCHOOL AND COLLEGE,HABIB NAGAR,MERAJNAGOR,01711783330,
345,DHAKA,KADAMTALI,SCHOOL,JUNIOR SECONDARY,138155,MURADPUR ADARSHA GOVT. PRIMARY SCHOOL,220 HAZI LALMIA SARKAR ROAD,GENDARIA,01914014681,
346,DHAKA,KALABAGAN,SCHOOL,SECONDARY ,107970,DHANMONDI HIGH SCHOOL,"14 FREE SCHOOL STREET, HATIRPOOL DHAKA - 1205",NEW MARKET,01720307958,
347,DHAKA,KALABAGAN,SCHOOL,JUNIOR SECONDARY,137175,KHAN HASAN ADORSHO GOVT. PRIMARY SCHOOL,18 FREE SCHOOL,NEWMARKET,01714170638,
348,DHAKA,KAMRANGIR CHAR,SCHOOL,JUNIOR SECONDARY,137967,ASHRAFABAD GOVT. PRIMARY SCHOOL,ASHRAFABAD,ASHRAFABAD,01779691705,
349,DHAKA,KAMRANGIR CHAR,SCHOOL,SECONDARY ,108052,ASHRAFABAD HIGH SCHOOL,ASHRAFABAD,ASHRAFABAD,01715165336,
350,DHAKA,KAMRANGIR CHAR,SCHOOL,SECONDARY ,108055,HAZI ABDUL AWAL HIGH SCHOOL,NOYAGAO,ASHRAFABAD,01911695970,
351,DHAKA,KAMRANGIR CHAR,SCHOOL,SECONDARY ,108053,NURJAHAN BEGUM HIGH SCHOOL,HUJUR PARA,ASHRAFABAD,01716915224,
352,DHAKA,KAMRANGIR CHAR,SCHOOL,SECONDARY ,137730,SHEIKH JAMAL GOVT. SECONDARY SCHOOL,KAMRANGIRCHAR,KAMRANGIRCHAR,01715027847,
353,DHAKA,KAMRANGIR CHAR,SCHOOL,SECONDARY ,108054,WAZUDDIN HIGH SCHOOL,"TAKERHATI, KAMRANGIRCHOR",ASHRAFABAD,01716900350,
354,DHAKA,KHILGAON,SCHOOL,JUNIOR SECONDARY,138156,BALURPAR GOVT. PRIMARY SCHOOL,BALURPAR,DASERKANDI,01622363037,
355,DHAKA,KHILGAON,SCHOOL,JUNIOR SECONDARY,134498,DHAKA PURBANCHAL MUKTIJUDDAH COLLEGEATE SCHOOL,WAST NANDIPARA,BASABO,01712008727,
356,DHAKA,KHILGAON,SCHOOL,SECONDARY ,108059,FAIZUR RAHMAN IDEAL INSTITUTE,ALJI ROAD 3,KHILGAON,01711612968,
357,DHAKA,KHILGAON,SCHOOL,SECONDARY ,108062,GORAN ADARSHA HIGH SCHOOL,399 PURBA GORAN,KHILGON,01747074862,
358,DHAKA,KHILGAON,SCHOOL,JUNIOR SECONDARY,137146,HOSSAIN MUHMMAD ERSHAD GOVT. PRIMARY SCHOOL,KHILGAON,KHILGAON,01971449662,
359,DHAKA,KHILGAON,SCHOOL,SECONDARY ,108024,KHALED HAIDER MEMORIAL HIGH SCHOOL,"29, ULON, RAMPURA",KHILGAON,01784474561,
360,DHAKA,KHILGAON,SCHOOL,JUNIOR SECONDARY,138281,KHILGAON GOVT COLONY GOVT PRIMARY SCHOOL,"569/C, KHILGAON CHOWDHURYPARA",KHILGAON,01733497816,
361,DHAKA,KHILGAON,SCHOOL,SECONDARY ,108060,KHILGAON GOVT.STAFF QR.HIGH SCHOOL,KHILGAON,KHILGAON,01714390189,
362,DHAKA,KHILGAON,SCHOOL,SECONDARY ,108373,KHILGAON HIGH SCHOOL,711/C. KHILGAON,KHILGAON,0191205006,
363,DHAKA,KHILGAON,SCHOOL,SECONDARY ,130931,KHILGAON IDEAL SCHOOL,1412/A,KHILGAON,01817108735,
364,DHAKA,KHILGAON,SCHOOL,JUNIOR SECONDARY,138141,MERADIA GOVT. PRIMARY SCHOOL,"HOUSE-176,MERADIA",KHILGAON-1219,01672064264,
365,DHAKA,KHILGAON,SCHOOL,SECONDARY ,108374,MODEL HIGH SCHOOL KHILGAON,411/A KHILGAON,KHILGAON 1219,01715416732,
366,DHAKA,KHILGAON,SCHOOL,SECONDARY ,108058,SHANTIPUR HIGH SCHOOL,168 SOUTH GORAN,KHILGAON,01714313775,
367,DHAKA,KHILGAON,SCHOOL,JUNIOR SECONDARY,134418,UTTARAN SCHOOL & COLLEGE,"A-1/5,DAKKHIN BONOSREE PROJECT",KHILGAON,01193275231,
368,DHAKA,KHILKHET,SCHOOL,SECONDARY ,130916,AMIRJAN HIGH SCHOOL,"DUMUNI, HOUSE-10 DUMUNI MAIN ROAD",TOLNA,01912469397,
369,DHAKA,KHILKHET,SCHOOL,SECONDARY ,107824,BARUA ALAUDDIN DEWAN HIGH SCHOOL,BARUA,BARUA,01710092771,
370,DHAKA,KHILKHET,SCHOOL,SECONDARY ,107820,DUMNI  HIGH SCHOOL,DUMNI,TALNA,01915637326,
371,DHAKA,KHILKHET,SCHOOL,SECONDARY ,107840,JAN -E-ALAM SARKER HIGH SCHOOL,"KHA-30, KHILKHET TANPARA ",KHILKHET,01718122408,
372,DHAKA,KHILKHET,SCHOOL,SECONDARY ,135574,NAVY ANCHORAGE DHAKA JUNIOR SCHOOL,NAMAPARA,KHILKHET,01683687340,
373,DHAKA,KHILKHET,SCHOOL,JUNIOR SECONDARY,134000,ONNESHA  HIGH SCHOOL,KHILKHET,KHILKHET,01916898804,
374,DHAKA,KHILKHET,SCHOOL,SECONDARY ,134186,SCHOOLAR INTERNATIONAL SCHOOL,"HOUSE#10, ROAD#04,NIKUNJA-2",KHILKHET,01916836628,
375,DHAKA,KHILKHET,SCHOOL,SECONDARY ,107827,TALNA RUHUL AMIN KHAN HIGH SCHOOL,TALNA,TALNA,01718182961,
376,DHAKA,KOTWALI,SCHOOL,SECONDARY ,108132,ANANDOMYEE GIRL'S HIGH SCHOOL,17/18 KAZI MUDDIN SIDDIQUE LANE,BABU BAZAR,01716631282,
377,DHAKA,KOTWALI,SCHOOL,SECONDARY ,108126,AZIZIA ISLAMIA HIGH SCHOOL,87 GOAL NAGAR LANE,DHAKA SADAR,01776372164,
378,DHAKA,KOTWALI,SCHOOL,SECONDARY ,108488,BANGLA BAZAR GOVT.GIRLS HIGH SCHOOL,30 - P K RAY ROAD,DHAKA SADAR,01712586237,
379,DHAKA,KOTWALI,SCHOOL,SECONDARY ,108128,BIR SHRESHTHA MOTIUR RAHMAN HIGH SCHOOL,"25/1 AGASADEK ROAD , DHAKA",G.P.O,01921346418,
380,DHAKA,KOTWALI,SCHOOL,SECONDARY ,108124,DHAKA COLLEGIATE  SCHOOL,"1NO- LOYAL STRIT, SADARGHAT, DHAKA- 1100",DHAKA SADAR,01556334383,
381,DHAKA,KOTWALI,SCHOOL,SECONDARY ,108133,HAMMADIA HIGH SCHOOL,2 NO HARNEY STREET,BABU BAZAR,01731218830,
382,DHAKA,KOTWALI,SCHOOL,SECONDARY ,108131,KASAITULY MUSLIM ACADEMY,"9,KAZIMUDDIN SIDDIQI LANE",BABUBAZAR,01818618530,
383,DHAKA,KOTWALI,SCHOOL,SECONDARY ,108135,MILLAT HIGH SCHOOL,68/11 HAZI ABDULLAH LANE,BABU BAZAR,01919431619,
384,DHAKA,KOTWALI,SCHOOL,SECONDARY ,108123,NAZIR BAZAR GIRLS' HIGH SCHOOL,"84,KAJI ALAUDDIN ROAD",G.P.O,01715260382,
385,DHAKA,KOTWALI,SCHOOL,SECONDARY ,108127,POGOSE HIGH SCHOOL,CHITTO RANJAN AVUNU,DHAKA SADAR,01818179584,
386,DHAKA,KOTWALI,SCHOOL,JUNIOR SECONDARY,137148,RAJAR DEWARI GOVT. PRIMARY SCHOOL,"16/4, KOUTHOUSE STREET",DHAKA SADAR,01715315935,
387,DHAKA,KOTWALI,SCHOOL,SECONDARY ,108125,SHAH ABDUL HAMID KALANDAR GIRLS HIGH SCHOOL,9 NO NOLGULA LALBAGH,BABU BAZAR,01712066606,
388,DHAKA,LALBAGH,SCHOOL,JUNIOR SECONDARY,133999,DARAL MUTTAQUEEN INTERNATIONAL SCHOOL,21 C NOOR FATAH LEN,POSTA,01730300534,
389,DHAKA,LALBAGH,SCHOOL,SECONDARY ,108146,ENGINEERING UNIVERSITY GIRLS SCHOOL,DHAKESHWARY,GPO - 10000,01556851657,
390,DHAKA,LALBAGH,SCHOOL,SECONDARY ,108147,FARID UDDIN SIDIQE HIGH SCHOOL,48 AZIMPUR ROAD,NEWMARKET,01674178223,
391,DHAKA,LALBAGH,SCHOOL,JUNIOR SECONDARY,137510,GONOKTULY GOVT. PRIMARY SCHOOL,22NO. GONOKTULY,NEWMARKET,01719290000,
392,DHAKA,LALBAGH,SCHOOL,SECONDARY ,108149,JAMILA KHATUN LALBAGH GIRLS HIGH SCHOOL,"297, LALBAG ROAD",POSTA,01730435441,
393,DHAKA,LALBAGH,SCHOOL,SECONDARY ,108145,RAHMATULLAH MODEL HIGH SCHOOL,"92, LALBAG ROAD",POSTA,01923119244,
394,DHAKA,LALBAGH,SCHOOL,SECONDARY ,108143,SHAHEED MANIK ADARSHA  HIGH SCHOOL,182 NOTUN POLTON LINE,NEWMARKET,01618631809,
395,DHAKA,LALBAGH,SCHOOL,SECONDARY ,108144,WEST END HIGH SCHOOL,41 B.C DAS STREET,NEWMARKET,01718203498,
396,DHAKA,MIRPUR,SCHOOL,SECONDARY ,108186,AL-NAHYAN HIGH SCHOOL,234 MIRPUR,MIRPUR,9016253,
397,DHAKA,MIRPUR,SCHOOL,SECONDARY ,108177,ALIM UDDIN HIGH SCHOOL,117/1 PIRERBAG,MIRPUR,01672870956,
398,DHAKA,MIRPUR,SCHOOL,JUNIOR SECONDARY,132109,CHETONA  MODEL  ACADEMY,ROAD  NO 4,MIRPUR,01711615218,
399,DHAKA,MIRPUR,SCHOOL,SECONDARY ,130893,DHAKA AHSANIA MOHILA MISSION HIGH SCHOOL,2/D DARUS SALAM ROAD,MIRPUR,01676122212,
400,DHAKA,MIRPUR,SCHOOL,JUNIOR SECONDARY,134794,DHAKA AVDENTIST PRE-SEMINARY AND SCHOOL,"149, SHAH ALIBAGH",MIRPUR,01919253219,
401,DHAKA,MIRPUR,SCHOOL,SECONDARY ,134139,GREENVIEW HIGH SCHOOL,"763/2-A, MONIPUR",MIRPUR,01712821719,
402,DHAKA,MIRPUR,SCHOOL,JUNIOR SECONDARY,134452,HABIBA INTERNATIONAL SCHOOL,"29 ,PURBA AHMEDNAGAR, MIRPUR -1, DHAKA-1216",MIRPUR,01881659906,
403,DHAKA,MIRPUR,SCHOOL,JUNIOR SECONDARY,108213,HAQQANI MISSION VIDYAPITH AND MOHAVIDYALAYA,"244,SOUTHPAIKPARA",MIRPUR,01954755900,
404,DHAKA,MIRPUR,SCHOOL,JUNIOR SECONDARY,136259,HOPE INTERNATIONAL SCHOOL,"1/1A , LEN-19, BLOCK-B, SECTION-10",MIRPUR,01552312404,
405,DHAKA,MIRPUR,SCHOOL,SECONDARY ,108190,ISLAMEE ADARSHA UCHCH BIDYALAY,"PLOT AREA, SEC-2",MIRPUR,01721359359,
406,DHAKA,MIRPUR,SCHOOL,SECONDARY ,133940,KINGSHUK PARTICIPATORY HIGH SCHOOL,"799,MONIPUR MIRPUR,DHAKA",MIRPUR,0172989626,
407,DHAKA,MIRPUR,SCHOOL,JUNIOR SECONDARY,134033,MEESAK IDEAL SCHOOL  & COLLEGE,"247/1, SOUTH MONIPUR, MIRPUR-2, DHAKA.",MIRPUR,01925994136,
408,DHAKA,MIRPUR,SCHOOL,SECONDARY ,108173,MODEL ACADEMY,MIRPUR,MIRPUR,01711460609,
409,DHAKA,MIRPUR,SCHOOL,SECONDARY ,108187,NATIONAL BANGLA HIGH SCHOOL,MIRPUR,MIRPUR,01816333082,
410,DHAKA,MOHAMMADPUR,SCHOOL,SECONDARY ,108233,ALI HOSSAIN GIRLS HIGH SCHOOOL,"79/2,SANKAR, WEST DAHMONDI",MOHAMMADPUR,01715798816,
411,DHAKA,MOHAMMADPUR,SCHOOL,SECONDARY ,108235,ARAB MISSION PUBLIC SCHOOL,BLOCK-CLALMATIA ,MOHAMMADPUR,01718129415,
412,DHAKA,MOHAMMADPUR,SCHOOL,SECONDARY ,108228,BENGALI MEDIUM HIGH SCHOOL,1/2 NURJAHAN ROAD,MOHAMMADPUR,01715834083,
413,DHAKA,MOHAMMADPUR,SCHOOL,JUNIOR SECONDARY,133978,BLOOMING CHILD HIGH SCHOOL,SARAI JAFRABAD,RAYER  BAZAR,01715421796,
414,DHAKA,MOHAMMADPUR,SCHOOL,SECONDARY ,134704,DETERMINED MODEL SCHOOL,"190/A,ROAD-5",MOHAMMADPUR,01552346616,
415,DHAKA,MOHAMMADPUR,SCHOOL,JUNIOR SECONDARY,135396,DHAKA IDEAL CADET SCHOOL,"37/1 AZIZKHAN ROAR,RAYER BAZER,  MOHAMMADPUR  ",MOHAMMADPUR,01707250237,
416,DHAKA,MOHAMMADPUR,SCHOOL,JUNIOR SECONDARY,134721,DHAKA PRE-LABORATORY SCHOOL,265 SHER-E-BANGLA ROAD RAYER BAZAR,MOHAMMADPUR,01711108704,
417,DHAKA,MOHAMMADPUR,SCHOOL,SECONDARY ,108231,DHAKA PRESIDENCY SCHOOL,"30\10 B, BLOCK - C, TAJMOHALROAD, MOHAMMADPUR",MOHAMMADPUR,01706966161,
418,DHAKA,MOHAMMADPUR,SCHOOL,JUNIOR SECONDARY,130886,DHANMONDI KOCHIKANTHA SCHOOL,"72 WEST DHANMONDI,JAFRABAD, SHANKOR",MOHAMMADPUR,01716414933,
419,DHAKA,MOHAMMADPUR,SCHOOL,SECONDARY ,135417,DIPALOK  IDEAL JUNIOR SCHOOL,"3-A/4, SOLIMULLAH ROAD",MOHAMMADPUR,01722190440,
420,DHAKA,MOHAMMADPUR,SCHOOL,SECONDARY ,108230,FOUNDATION SCHOOL,2/6 LALMATIA,MOHAMMAD PUR,01713163899,
421,DHAKA,MOHAMMADPUR,SCHOOL,JUNIOR SECONDARY,137149,JAFRABAD ADARSHAW GOVT. PRIMARY SCHOOL,SHER-E-BANGLA ROAD,MOHAMMADPUR,01913508421,
422,DHAKA,MOHAMMADPUR,SCHOOL,JUNIOR SECONDARY,108237,KING KHLALED INSTITUTE,"5/7, BLOC - F, LALMATIA",MOHAMMADPUR,01672440048,
423,DHAKA,MOHAMMADPUR,SCHOOL,SECONDARY ,131213,KOCHI KONTHA UCHCHA BIDYALAYA,"32/10/A/1,SULTANGONG,RAYERBAZAR,MOHAMMADPUR,DHAKA",MOHAMMADPUR,01711231397,
424,DHAKA,MOHAMMADPUR,SCHOOL,SECONDARY ,108227,LALMATIA GIRLS HIGH SCHOOL,"9\15 BLOCK -D,LALMATIA ",MOHAMMADPUR,01683596444,
425,DHAKA,MOHAMMADPUR,SCHOOL,SECONDARY ,130896,LIONS AGRA GATI SHIKKHA NIKETAN ( HIGH SCHOOL),TALTALA,SHERE BANGLA NAGAR,01720038338,
426,DHAKA,MOHAMMADPUR,SCHOOL,SECONDARY ,136993,MOHAMMADPUR COMMERCIAL INSTITUTE GOVT. HIGH SCHOOL,SATMOSZID ROAD,MOHAMMADPUR,01732184003,
427,DHAKA,MOHAMMADPUR,SCHOOL,SECONDARY ,108238,MOHAMMADPUR GIRLS HIGH SCHOOL,NURUJAHAN ROAD,MOHAMMADPUR,9122224,
428,DHAKA,MOHAMMADPUR,SCHOOL,SECONDARY ,108232,MOHAMMADPUR GOVT HIGH SCHOOL,HOMAYUN ROAD,MOHAMMAD PUR,01716434386,
429,DHAKA,MOHAMMADPUR,SCHOOL,JUNIOR SECONDARY,137971,MOHAMMADPUR GOVT. PRIMARY SCHOOL,1/1 NURJAHAN ROAD,MOHAMMADPUR,01813834898,
430,DHAKA,MOHAMMADPUR,SCHOOL,JUNIOR SECONDARY,134734,MOHAMMADPUR LABORATORY HIGH SCHOOL,KATASSHAR,MOHAMMADPUR,01912143883,
431,DHAKA,MOHAMMADPUR,SCHOOL,JUNIOR SECONDARY,134718,NOBODOY PRE-CADET AND HIGH SCHOOL,3/6  ,MOHAMMADPUR,01913825432,
432,DHAKA,MOHAMMADPUR,SCHOOL,JUNIOR SECONDARY,136273,SAFE SCHOOL,60/1/B SADEK KHAN ROAD WEST JAFRABAD ,MOHAMMADPUR,01716636148,
433,DHAKA,MOHAMMADPUR,SCHOOL,SECONDARY ,133987,UDDIPAN BIDYALAY,"1/4, LALMATIA",MOHAMMADPUR,01714115546,
434,DHAKA,MOHAMMADPUR,SCHOOL,SECONDARY ,108236,WEST DHAN MONDI YOUSUF HIGH SCHOOL,77\1 WEST DHANMONDI,MOHAMMADPUR,01711584966,
435,DHAKA,MOTIJHEEL,SCHOOL,JUNIOR SECONDARY,137198,BANGABHABAN GOVT. PRIMARY SCHOOL,BANGABHABAN STAFF QRT,BANGABHABAN,01920498800,
436,DHAKA,MOTIJHEEL,SCHOOL,SECONDARY ,108576,BANGLADESH BANK HIGH SCHOOL,BANGLADESH BANK COLONY,G P O,01716075406,
437,DHAKA,MOTIJHEEL,SCHOOL,JUNIOR SECONDARY,137966,KAMALAPUR GOVT. PRIMARY SCHOOL,DAKHSHIN KAMALAPUR,SHANTINAGAR,01732284562,
438,DHAKA,MOTIJHEEL,SCHOOL,SECONDARY ,108579,KAMALAPUR SHER-E-BANGLA RAILWAY HIGH SCHOOL,DAKSHIN KAMALAPUR,SHANTINAGAR,01556461735,
439,DHAKA,MOTIJHEEL,SCHOOL,SECONDARY ,108267,MOTIJHEEL COLONY HIGH SCHOOL,AUTER SARKULAR ROAD,GPO,01913493006,
440,DHAKA,MOTIJHEEL,SCHOOL,SECONDARY ,108580,MOTIJHEEL GOVT  GILRS HIGH SCHOOL,AUTER SARCULER ROAD,GPO,01712750393,
441,DHAKA,MOTIJHEEL,SCHOOL,JUNIOR SECONDARY,138144,MOTIJHEEL GOVT. PRIMARY SCHOOL,3/1 MOTJHEEL COLONY,MOTIJHEEL,01552349079,
442,DHAKA,MOTIJHEEL,SCHOOL,SECONDARY ,130881,POST OFFICE HIGH SCHOOL,MOTIJHEEL,G P O,01552334466,
443,DHAKA,MOTIJHEEL,SCHOOL,SECONDARY ,130864,ROYEL  ACADEMY,"158/2, INNER CIRCULAR ROAD, ARAMBAGH, MOTIJHEEL, ",G.P.O,01718358344,
444,DHAKA,MOTIJHEEL,SCHOOL,SECONDARY ,108269,SHAHJAHANPUR RAILWAY GOVT  HIGH SCHOOL,SHAHJAHANPUR,SHANTINAGAR,01815405363,
445,DHAKA,MOTIJHEEL,SCHOOL,SECONDARY ,108575,T AND T HIGH SCHOOL,MOTIJHEEL,GPO,01911209687,
446,DHAKA,MUGDA PARA,SCHOOL,SECONDARY ,107882,MANIKNAGAR MODEL HIGH SCHOOL,MANIKNAGRA,WARI,01716289015,
447,DHAKA,MUGDA PARA,SCHOOL,JUNIOR SECONDARY,130911,MINIKNAGOR IDEAL JUNIOR HIGH SCHOOL,66/4 MANIKNAGOR,WARI,01670802066,
448,DHAKA,MUGDA PARA,SCHOOL,SECONDARY ,108369,MUGDA PARA KAZI ZAFOR AHMED HIGH SCHOOL,54/1DHOKAN MUGDA PARA,BASABOO,01917726847,
449,DHAKA,NAWABGANJ,SCHOOL,JUNIOR SECONDARY,137969,CHANDRAKHULA GOVT. PRIMARY SCHOOL,CHANDRAKHULA,PATILJHAP,01714219310,
450,DHAKA,NEW MARKET,SCHOOL,SECONDARY ,107961,B C S I R HIGH SCHOOL,"SCIENCE LABRATORY  CAMPUS, DHANMONDI, DHAKA-1205",NEW MARKET,01716223288,
451,DHAKA,PALLABI,SCHOOL,JUNIOR SECONDARY,108170,AL- HAZ MODHU BAPARY HIGH SCHOOL,"14,16 ROD 6   ",MIRPUR  ,01711434591,
452,DHAKA,PALLABI,SCHOOL,SECONDARY ,108197,ALHAJ ABBAS UDDIN HIGH SCHOOL,SECTION-11 BLOCK .C. AVENUE-.5,MIRPUR,01912235990,
453,DHAKA,PALLABI,SCHOOL,SECONDARY ,108325,BANGABANDHU BIDYANIKETAN,PALIT BIDYA -1,MIRPUR,01711222939,
454,DHAKA,PALLABI,SCHOOL,SECONDARY ,108330,BANGLADESH ADARSHA SHIKKHA NIKETON HIGH SCHOOL,12/TA,MIRPUR,01724903080,
455,DHAKA,PALLABI,SCHOOL,SECONDARY ,108322,BAUNIA BANDH IDEAL HIGH SCHOOL,PRA/16,MIRPUR,01911982898,
456,DHAKA,PALLABI,SCHOOL,SECONDARY ,108332,"CANTONMENY BOARD HIGH SCHOOL, MIRPUR-",CHAKULI,MIRPUR CANTONMENT,01722222241,
457,DHAKA,PALLABI,SCHOOL,JUNIOR SECONDARY,136263,COSMO SCHOOL,"HOUSE-1, ROAD-1, BLOCK-B, SECTION-12",PALLABI,01773999589,
458,DHAKA,PALLABI,SCHOOL,JUNIOR SECONDARY,134644,EDAF SCHOOL,"19/60 RUPNAGAR R/A,",MIRPUR,01919600704,
459,DHAKA,PALLABI,SCHOOL,JUNIOR SECONDARY,134003,HOLY HEART HIGH SCHOOL,"22/13-15, BLOCK-B,BAUNIABAB, MIRPUR-11,",MIRPUR-11,01819141811,
460,DHAKA,PALLABI,SCHOOL,SECONDARY ,134017,HUSNA INTERNATIONAL SCHOOL,"HOUSE-20,21, ROAD-14, BLOCK-B, BAUNIABANDH, MIRPUR",MIRPUR,01812115011,
461,DHAKA,PALLABI,SCHOOL,SECONDARY ,133939,"ISLAMIA HIGH SCHOOL,PALLABI","BLOCK-TA,SECTION-6",MIRPUR,01919472003,
462,DHAKA,PALLABI,SCHOOL,SECONDARY ,108179,JANNAT ACADEMY HIGH SCHOOL,"03805,11/A",MIRPUR,01918699888,
463,DHAKA,PALLABI,SCHOOL,SECONDARY ,108324,KALSHI ISLAMIA HIGH SCHOOL,"11/E,PALLABI,MIRPUR.",MIRPUR,01757200762,
464,DHAKA,PALLABI,SCHOOL,SECONDARY ,108323,KAMAL AHMED MAJUMDAR SCHOOL AND COLLEGE,23/30/1,MIRPUR-2,01731841255,
465,DHAKA,PALLABI,SCHOOL,JUNIOR SECONDARY,108176,LITTLE FLOWERS PREPARATORY SCHOOL,12-E\33-04,PALLABI,01816333984,
466,DHAKA,PALLABI,SCHOOL,SECONDARY ,108191,M. D. C. MODEL INSTITUTE,12 - B PALLABI,MIRPUR-1216,01680054011,
